"IDpol","ClaimNb","Exposure","VehPower","VehAge","DrivAge","BonusMalus","VehBrand","VehGas","Area","Density","Region","TotalClaimAmount","DrivAge_Band","BM_Band"
"1127622",1,1,4,1,40,62,"B2","Regular","E",4253,"Aquitaine",35.1,"[35,45)","[60,70)"
"1127637",1,1,7,16,76,50,"B1","Regular","C",125,"Bretagne",1128.12,"[65,100]","[49,60)"
"1127706",1,1,6,1,63,50,"B2","Diesel","B",59,"Centre",71.65,"[55,65)","[49,60)"
"1127759",1,1,4,9,63,50,"B2","Regular","C",282,"Centre",339.6,"[55,65)","[49,60)"
"1127761",1,1,6,8,41,50,"B1","Diesel","C",238,"Pays-de-la-Loire",1163.05,"[35,45)","[49,60)"
"1127849",1,1,5,11,38,50,"B2","Diesel","C",193,"Pays-de-la-Loire",363.58,"[35,45)","[49,60)"
"1127873",1,1,6,4,59,65,"B1","Diesel","D",831,"Poitou-Charentes",1128,"[55,65)","[60,70)"
"1127875",1,1,5,7,64,50,"B5","Regular","C",165,"Bretagne",1330.13,"[55,65)","[49,60)"
"1127907",1,0.04,4,13,42,73,"B5","Regular","C",210,"Bretagne",1128,"[35,45)","[70,80)"
"1127948",1,0.74,10,1,51,50,"B10","Diesel","C",182,"Centre",66.41,"[45,55)","[49,60)"
"1128072",1,0.19,8,16,80,50,"B13","Regular","F",27000,"Ile-de-France",72.92,"[65,100]","[49,60)"
"1128089",1,1,6,6,67,50,"B3","Regular","D",1182,"Rhone-Alpes",1128,"[65,100]","[49,60)"
"1128173",1,1,7,5,41,64,"B5","Regular","D",1182,"Rhone-Alpes",11,"[35,45)","[60,70)"
"1128190",1,1,4,13,71,50,"B1","Regular","D",1426,"Rhone-Alpes",1128,"[65,100]","[49,60)"
"1128216",1,1,5,11,62,50,"B2","Diesel","D",1191,"Ile-de-France",1128.12,"[55,65)","[49,60)"
"1128225",1,0.62,6,9,70,50,"B12","Regular","E",4172,"Rhone-Alpes",1208.34,"[65,100]","[49,60)"
"1128356",1,0.38,9,13,47,50,"B1","Regular","F",27000,"Ile-de-France",553.54,"[45,55)","[49,60)"
"1128376",1,1,7,15,77,50,"B2","Regular","E",3744,"Provence-Alpes-Cotes-D'Azur",1128.12,"[65,100]","[49,60)"
"1128436",1,1,6,11,78,73,"B1","Regular","D",1175,"Poitou-Charentes",1128.12,"[65,100]","[70,80)"
"1128473",1,1,6,5,53,50,"B2","Diesel","E",2575,"Pays-de-la-Loire",311.07,"[45,55)","[49,60)"
"1128489",1,1,7,11,39,50,"B6","Regular","C",473,"Bretagne",1128.12,"[35,45)","[49,60)"
"1128495",1,1,7,13,40,50,"B2","Diesel","A",19,"Centre",1128.12,"[35,45)","[49,60)"
"1128643",1,1,5,16,90,58,"B2","Regular","B",76,"Centre",1128,"[65,100]","[49,60)"
"1128749",1,1,6,11,47,50,"B1","Diesel","E",4128,"Pays-de-la-Loire",1144.64,"[45,55)","[49,60)"
"1128754",1,1,4,13,71,50,"B4","Regular","D",1943,"Centre",1128.12,"[65,100]","[49,60)"
"1128770",1,1,5,16,74,62,"B1","Regular","B",91,"Centre",1128.12,"[65,100]","[60,70)"
"1128793",1,1,5,3,66,55,"B1","Regular","D",1054,"Centre",1128,"[65,100]","[49,60)"
"1128836",1,1,6,2,43,50,"B3","Diesel","C",206,"Rhone-Alpes",2911.66,"[35,45)","[49,60)"
"1128872",1,1,7,1,49,50,"B1","Regular","D",745,"Rhone-Alpes",60.17,"[45,55)","[49,60)"
"1128953",1,1,6,5,66,67,"B2","Diesel","C",481,"Rhone-Alpes",1128.12,"[65,100]","[60,70)"
"1129065",2,1,6,13,22,77,"B3","Regular","E",3946,"Rhone-Alpes",2363.72,"[17,25)","[70,80)"
"1129178",1,1,6,1,60,76,"B2","Diesel","C",473,"Bretagne",1128.12,"[55,65)","[70,80)"
"1129184",1,0.44,6,18,68,62,"B1","Diesel","A",44,"Centre",1128.12,"[65,100]","[60,70)"
"1129202",1,0.68,6,11,51,50,"B1","Diesel","C",282,"Centre",443.16,"[45,55)","[49,60)"
"1129276",2,1,5,3,75,69,"B2","Regular","F",27000,"Ile-de-France",1338.35,"[65,100]","[60,70)"
"1129336",1,1,6,3,59,50,"B3","Diesel","D",983,"Pays-de-la-Loire",110.79,"[55,65)","[49,60)"
"1129357",1,1,6,6,72,50,"B2","Diesel","B",66,"Poitou-Charentes",1128,"[65,100]","[49,60)"
"1129494",1,1,5,2,56,50,"B3","Regular","C",125,"Bretagne",427.72,"[55,65)","[49,60)"
"1129553",2,0.85,5,9,67,50,"B5","Diesel","E",4116,"Centre",5646.08,"[65,100]","[49,60)"
"1129663",1,1,7,6,48,50,"B1","Diesel","C",192,"Languedoc-Roussillon",40.86,"[45,55)","[49,60)"
"1129832",1,1,5,3,54,52,"B2","Regular","A",30,"Limousin",1128.12,"[45,55)","[49,60)"
"1129854",1,1,10,5,55,58,"B1","Diesel","C",102,"Centre",1128.12,"[55,65)","[49,60)"
"1129869",1,1,7,6,55,50,"B2","Diesel","C",405,"Centre",1270.13,"[55,65)","[49,60)"
"1129936",1,1,5,7,57,50,"B1","Regular","F",17140,"Ile-de-France",169.4,"[55,65)","[49,60)"
"1130000",1,0.57,4,5,44,100,"B2","Diesel","A",8,"Centre",2652.61,"[35,45)","[100,250]"
"1130021",1,1,7,11,75,59,"B2","Regular","C",105,"Centre",87.85,"[65,100]","[49,60)"
"1130104",1,1,6,6,48,56,"B1","Diesel","B",60,"Basse-Normandie",2435.82,"[45,55)","[49,60)"
"1130212",1,1,7,9,36,72,"B2","Regular","E",4762,"Provence-Alpes-Cotes-D'Azur",765.65,"[35,45)","[70,80)"
"1130224",1,0.85,6,4,56,50,"B5","Diesel","C",287,"Bretagne",1128.12,"[55,65)","[49,60)"
"1130244",1,1,6,15,38,50,"B1","Diesel","B",71,"Pays-de-la-Loire",1128.12,"[35,45)","[49,60)"
"1130369",1,1,10,1,37,51,"B2","Regular","C",473,"Bretagne",2929.32,"[35,45)","[49,60)"
"1130376",2,1,5,2,42,96,"B6","Regular","C",473,"Bretagne",7103.87,"[35,45)","[90,100)"
"1130387",1,1,10,12,39,70,"B12","Diesel","C",109,"Pays-de-la-Loire",1123.99,"[35,45)","[70,80)"
"1130448",1,0.47,6,2,24,80,"B2","Diesel","C",102,"Poitou-Charentes",378.21,"[17,25)","[80,90)"
"1130527",1,1,6,4,54,62,"B1","Diesel","C",138,"Centre",1128,"[45,55)","[60,70)"
"1130550",1,1,6,9,54,50,"B1","Diesel","D",741,"Centre",1710.88,"[45,55)","[49,60)"
"1130603",1,1,6,4,52,58,"B5","Diesel","A",27,"Centre",82.05,"[45,55)","[49,60)"
"1130738",1,1,6,3,41,50,"B2","Diesel","A",27,"Centre",1128,"[35,45)","[49,60)"
"1130832",1,1,6,7,72,50,"B2","Diesel","E",2715,"Centre",2151.67,"[65,100]","[49,60)"
"1130859",1,0.87,5,1,49,50,"B2","Diesel","B",63,"Centre",917.15,"[45,55)","[49,60)"
"1130908",1,1,6,1,74,50,"B1","Diesel","C",105,"Centre",578.59,"[65,100]","[49,60)"
"1130931",1,1,13,1,52,50,"B6","Regular","A",46,"Centre",1128.12,"[45,55)","[49,60)"
"1130936",1,1,4,3,40,62,"B2","Regular","B",64,"Centre",1128,"[35,45)","[60,70)"
"1130955",1,0.33,6,9,52,50,"B2","Diesel","A",26,"Rhone-Alpes",1980.78,"[45,55)","[49,60)"
"1130987",1,0.58,6,1,63,62,"B2","Diesel","A",46,"Centre",1128.12,"[55,65)","[60,70)"
"1131182",1,0.93,5,3,63,52,"B2","Regular","E",2733,"Provence-Alpes-Cotes-D'Azur",1128.12,"[55,65)","[49,60)"
"1131259",1,0.61,6,3,55,50,"B2","Diesel","C",295,"Centre",65.27,"[55,65)","[49,60)"
"1131317",1,1,7,15,60,50,"B1","Regular","B",76,"Centre",1128.12,"[55,65)","[49,60)"
"1131374",1,0.36,6,14,47,50,"B6","Diesel","B",92,"Centre",2161.57,"[45,55)","[49,60)"
"1131416",1,1,5,2,50,55,"B5","Regular","D",1054,"Centre",1128.12,"[45,55)","[49,60)"
"1131454",1,1,11,9,37,62,"B10","Regular","C",405,"Centre",1128.12,"[35,45)","[60,70)"
"1131495",1,0.94,6,11,54,50,"B3","Regular","B",50,"Bourgogne",564.06,"[45,55)","[49,60)"
"1131558",1,1,7,3,47,50,"B3","Regular","A",22,"Centre",350.71,"[45,55)","[49,60)"
"1131574",1,1,6,4,41,50,"B1","Diesel","A",13,"Centre",1128.12,"[35,45)","[49,60)"
"1131605",1,0.78,6,0,72,50,"B1","Diesel","A",19,"Centre",2228,"[65,100]","[49,60)"
"1131668",1,1,6,5,64,55,"B1","Regular","E",4116,"Centre",1128,"[55,65)","[49,60)"
"1131685",1,0.97,5,1,46,50,"B2","Diesel","A",27,"Centre",76.62,"[45,55)","[49,60)"
"1131709",1,0.88,4,16,88,50,"B1","Regular","A",25,"Centre",5404.98,"[65,100]","[49,60)"
"1131878",1,1,5,6,44,187,"B5","Regular","D",722,"Bretagne",1128,"[35,45)","[100,250]"
"1131989",1,1,14,4,54,50,"B11","Regular","D",1193,"Centre",65,"[45,55)","[49,60)"
"1132021",1,1,6,13,36,50,"B1","Diesel","D",983,"Pays-de-la-Loire",1128.12,"[35,45)","[49,60)"
"1132204",1,0.17,8,6,64,72,"B2","Diesel","D",1871,"Rhone-Alpes",1190.05,"[55,65)","[70,80)"
"1132227",1,0.99,6,6,56,50,"B1","Diesel","D",1719,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"1132312",1,1,7,6,52,50,"B1","Diesel","C",473,"Bretagne",1314.75,"[45,55)","[49,60)"
"1132366",1,0.69,7,12,46,50,"B1","Regular","D",1192,"Bretagne",1128.12,"[45,55)","[49,60)"
"1132385",1,0.91,6,1,52,50,"B1","Diesel","C",175,"Bretagne",71.76,"[45,55)","[49,60)"
"1132407",1,1,6,1,49,118,"B1","Regular","C",151,"Bretagne",1128,"[45,55)","[100,250]"
"1132420",1,0.47,4,8,56,50,"B1","Regular","A",48,"Basse-Normandie",52.47,"[55,65)","[49,60)"
"1132434",1,1,7,8,65,67,"B2","Regular","C",473,"Bretagne",1128.12,"[65,100]","[60,70)"
"1132535",2,1,7,1,40,50,"B2","Diesel","C",146,"Bretagne",1442.31,"[35,45)","[49,60)"
"1132568",1,0.66,5,14,58,50,"B2","Diesel","B",90,"Poitou-Charentes",209.26,"[55,65)","[49,60)"
"1132595",1,1,5,7,40,50,"B1","Regular","D",1165,"Bretagne",1128,"[35,45)","[49,60)"
"1132602",1,0.5,9,10,42,50,"B12","Regular","B",52,"Bretagne",197.35,"[35,45)","[49,60)"
"1132655",1,0.05,9,17,35,64,"B1","Regular","A",32,"Centre",65,"[35,45)","[60,70)"
"1132676",1,1,8,10,66,95,"B1","Diesel","D",1064,"Centre",1128,"[65,100]","[90,100)"
"1132759",1,1,6,5,51,50,"B3","Regular","E",4762,"Provence-Alpes-Cotes-D'Azur",524.99,"[45,55)","[49,60)"
"1132930",1,0.81,5,16,36,50,"B2","Diesel","B",61,"Centre",85.88,"[35,45)","[49,60)"
"1132977",1,1,8,1,79,50,"B4","Diesel","C",405,"Centre",593.59,"[65,100]","[49,60)"
"1132997",1,0.84,7,11,45,58,"B2","Diesel","A",37,"Centre",1128.12,"[45,55)","[49,60)"
"1133068",1,1,5,9,35,50,"B1","Diesel","E",4496,"Ile-de-France",476.66,"[35,45)","[49,60)"
"1133072",1,1,5,8,58,50,"B4","Diesel","A",16,"Centre",564.06,"[55,65)","[49,60)"
"1133250",1,1,8,16,35,73,"B10","Diesel","B",76,"Centre",1128.12,"[35,45)","[70,80)"
"1133252",1,1,5,7,42,50,"B2","Diesel","C",399,"Centre",154.43,"[35,45)","[49,60)"
"1133329",1,0.74,5,14,39,59,"B2","Regular","E",2715,"Centre",97.83,"[35,45)","[49,60)"
"1133357",1,1,6,3,43,62,"B1","Regular","E",4116,"Centre",85.33,"[35,45)","[60,70)"
"1133390",1,1,5,3,50,58,"B6","Regular","E",4087,"Bretagne",1128.12,"[45,55)","[49,60)"
"1133562",1,0.31,7,13,35,90,"B2","Diesel","D",801,"Poitou-Charentes",1128.12,"[35,45)","[90,100)"
"1133567",1,1,4,5,51,50,"B1","Regular","D",1732,"Rhone-Alpes",1444.43,"[45,55)","[49,60)"
"1133586",1,0.8,6,6,35,57,"B3","Regular","E",2105,"Rhone-Alpes",2300.93,"[35,45)","[49,60)"
"1133621",1,1,7,11,58,50,"B2","Diesel","C",306,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"1133641",1,1,4,8,57,50,"B2","Diesel","D",542,"Rhone-Alpes",87.59,"[55,65)","[49,60)"
"1133651",2,1,6,8,78,86,"B5","Regular","D",1974,"Poitou-Charentes",2256.12,"[65,100]","[80,90)"
"1133699",1,1,4,6,39,66,"B5","Regular","E",8549,"Rhone-Alpes",1128.12,"[35,45)","[60,70)"
"1133747",1,1,11,4,62,50,"B10","Regular","E",9307,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"1133787",1,1,6,8,57,50,"B5","Regular","A",25,"Poitou-Charentes",585.81,"[55,65)","[49,60)"
"1133867",1,1,7,12,77,58,"B1","Regular","C",196,"Basse-Normandie",1128.12,"[65,100]","[49,60)"
"1133907",1,1,6,1,38,50,"B6","Diesel","E",4128,"Pays-de-la-Loire",1128,"[35,45)","[49,60)"
"1134024",1,0.57,8,9,60,52,"B13","Diesel","C",152,"Bretagne",72.93,"[55,65)","[49,60)"
"1134092",1,0.1,5,9,39,78,"B5","Diesel","C",172,"Bretagne",4283.6,"[35,45)","[70,80)"
"1134130",1,1,7,12,75,50,"B1","Regular","C",111,"Basse-Normandie",1128,"[65,100]","[49,60)"
"1134159",1,1,5,13,55,63,"B2","Regular","B",98,"Bretagne",1128,"[55,65)","[60,70)"
"1134182",1,1,7,16,54,90,"B2","Regular","E",4116,"Centre",1128,"[45,55)","[90,100)"
"1134246",1,0.89,6,12,47,67,"B1","Diesel","A",38,"Rhone-Alpes",1128,"[45,55)","[60,70)"
"1134257",1,1,7,7,61,50,"B2","Diesel","A",28,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"1134304",1,1,4,2,78,158,"B1","Regular","D",1182,"Rhone-Alpes",29.06,"[65,100]","[100,250]"
"1134314",1,1,4,12,61,62,"B1","Regular","E",3744,"Provence-Alpes-Cotes-D'Azur",331.34,"[55,65)","[60,70)"
"1134318",1,1,7,2,59,77,"B11","Diesel","C",378,"Rhone-Alpes",1128.12,"[55,65)","[70,80)"
"1134349",1,1,5,13,42,50,"B2","Diesel","C",208,"Rhone-Alpes",1128.12,"[35,45)","[49,60)"
"1134395",1,1,7,12,39,50,"B1","Regular","B",62,"Ile-de-France",120.76,"[35,45)","[49,60)"
"1134409",1,0.03,10,14,35,64,"B2","Diesel","A",24,"Poitou-Charentes",7018.84,"[35,45)","[60,70)"
"1134609",1,1,6,5,44,68,"B5","Diesel","C",354,"Pays-de-la-Loire",1128.12,"[35,45)","[60,70)"
"1134679",1,1,6,10,52,56,"B2","Diesel","B",66,"Pays-de-la-Loire",204.09,"[45,55)","[49,60)"
"1134691",1,1,4,13,43,52,"B1","Regular","E",3386,"Bretagne",1128.12,"[35,45)","[49,60)"
"1134701",1,1,5,13,35,50,"B2","Diesel","C",333,"Poitou-Charentes",156.78,"[35,45)","[49,60)"
"1134709",1,1,5,2,50,72,"B5","Regular","C",200,"Poitou-Charentes",1128,"[45,55)","[70,80)"
"1134789",1,1,5,8,56,50,"B5","Diesel","D",1457,"Pays-de-la-Loire",63.86,"[55,65)","[49,60)"
"1134925",1,0.92,7,4,40,56,"B1","Diesel","A",44,"Centre",564.06,"[35,45)","[49,60)"
"1135075",1,1,7,4,81,52,"B1","Diesel","C",137,"Centre",343.45,"[65,100]","[49,60)"
"1135094",1,0.11,7,12,35,75,"B2","Diesel","C",155,"Centre",1128,"[35,45)","[70,80)"
"1135180",1,0.43,8,5,49,50,"B2","Diesel","A",26,"Bourgogne",582.78,"[45,55)","[49,60)"
"1135438",1,1,7,6,55,50,"B2","Diesel","A",22,"Centre",1128.12,"[55,65)","[49,60)"
"1135650",1,0.23,4,10,47,50,"B3","Diesel","B",52,"Bretagne",1013.79,"[45,55)","[49,60)"
"1135696",1,0.74,6,6,34,62,"B3","Diesel","B",53,"Pays-de-la-Loire",1128.12,"[25,35)","[60,70)"
"1135740",1,1,5,3,75,50,"B1","Regular","D",634,"Bretagne",1128.12,"[65,100]","[49,60)"
"1135894",1,1,5,12,32,71,"B2","Regular","D",528,"Centre",1128.12,"[25,35)","[70,80)"
"1135924",1,0.51,5,2,34,51,"B3","Diesel","C",307,"Centre",1275.83,"[25,35)","[49,60)"
"1136101",1,0.48,4,5,51,55,"B6","Regular","E",2872,"Ile-de-France",1652.12,"[45,55)","[49,60)"
"1136129",1,1,5,2,57,50,"B2","Regular","B",75,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"1136195",1,0.9,5,1,73,62,"B1","Diesel","C",299,"Rhone-Alpes",10298.77,"[65,100]","[60,70)"
"1136291",1,1,7,10,53,50,"B2","Regular","B",91,"Centre",1128,"[45,55)","[49,60)"
"1136302",1,1,7,13,53,50,"B6","Diesel","C",115,"Centre",1128,"[45,55)","[49,60)"
"1136334",1,1,5,9,39,50,"B2","Regular","C",399,"Centre",1128,"[35,45)","[49,60)"
"1136349",1,0.64,4,19,69,50,"B2","Regular","C",405,"Centre",69.65,"[65,100]","[49,60)"
"1136451",1,1,9,3,65,52,"B2","Regular","C",109,"Centre",2789.36,"[65,100]","[49,60)"
"1136561",1,0.22,6,11,54,50,"B1","Diesel","A",38,"Centre",1013.78,"[45,55)","[49,60)"
"1136575",1,0.55,6,5,37,64,"B2","Regular","E",7187,"Ile-de-France",3409.99,"[35,45)","[60,70)"
"1136652",1,1,4,16,65,50,"B2","Regular","B",91,"Centre",1128.12,"[65,100]","[49,60)"
"1136680",1,0.52,4,6,46,50,"B11","Diesel","C",405,"Centre",1628.12,"[45,55)","[49,60)"
"1136716",1,1,4,10,54,50,"B2","Regular","C",105,"Centre",1128.12,"[45,55)","[49,60)"
"1136725",1,1,7,7,54,50,"B2","Regular","C",405,"Centre",1128.12,"[45,55)","[49,60)"
"1136771",1,1,5,18,34,71,"B5","Diesel","C",111,"Centre",1128.12,"[25,35)","[70,80)"
"1136840",1,1,5,6,38,50,"B1","Diesel","D",1729,"Limousin",1571.74,"[35,45)","[49,60)"
"1136842",1,1,10,4,69,62,"B2","Regular","E",4116,"Centre",1128,"[65,100]","[60,70)"
"1136936",1,1,6,1,44,50,"B1","Diesel","C",295,"Centre",1645.25,"[35,45)","[49,60)"
"1136938",1,0.92,6,6,45,50,"B3","Diesel","A",16,"Centre",3718.94,"[45,55)","[49,60)"
"1136983",1,1,5,12,60,58,"B2","Diesel","A",37,"Centre",1128.12,"[55,65)","[49,60)"
"1137177",1,1,7,15,36,56,"B1","Regular","D",1153,"Basse-Normandie",146.73,"[35,45)","[49,60)"
"1137192",1,1,5,6,51,50,"B3","Diesel","D",1165,"Bretagne",910.71,"[45,55)","[49,60)"
"1137244",1,1,5,2,44,60,"B6","Diesel","C",149,"Centre",1128.12,"[35,45)","[60,70)"
"1137278",1,1,7,14,45,58,"B2","Regular","A",24,"Centre",1128,"[45,55)","[49,60)"
"1137325",1,1,5,4,57,50,"B6","Regular","C",270,"Rhone-Alpes",863.86,"[55,65)","[49,60)"
"1137332",1,1,5,4,53,62,"B1","Diesel","B",83,"Centre",1128,"[45,55)","[60,70)"
"1137389",1,1,7,11,36,51,"B1","Regular","C",155,"Centre",752.65,"[35,45)","[49,60)"
"1137411",1,0.6,8,7,49,58,"B6","Regular","C",405,"Centre",5159.62,"[45,55)","[49,60)"
"1137427",1,1,7,4,58,50,"B11","Diesel","A",16,"Centre",1128.12,"[55,65)","[49,60)"
"1137471",1,1,11,4,37,59,"B1","Diesel","E",4116,"Centre",1128,"[35,45)","[49,60)"
"1137524",1,0.64,6,6,46,62,"B1","Diesel","A",48,"Centre",1128.12,"[45,55)","[60,70)"
"1137564",1,1,9,1,48,50,"B2","Regular","C",399,"Centre",13091.81,"[45,55)","[49,60)"
"1137581",1,0.58,7,6,44,50,"B13","Diesel","A",12,"Centre",4758.41,"[35,45)","[49,60)"
"1137613",1,1,6,7,35,62,"B1","Diesel","C",164,"Centre",1128.12,"[35,45)","[60,70)"
"1138137",2,0.49,5,8,46,50,"B1","Diesel","D",745,"Rhone-Alpes",2465.95,"[45,55)","[49,60)"
"1138140",1,0.73,5,5,40,50,"B2","Diesel","C",358,"Centre",21.29,"[35,45)","[49,60)"
"1138145",1,0.78,6,13,54,76,"B1","Diesel","E",9307,"Rhone-Alpes",19.81,"[45,55)","[70,80)"
"1138196",1,1,8,14,34,68,"B12","Regular","E",4116,"Centre",91.91,"[25,35)","[60,70)"
"1138204",1,1,6,12,36,50,"B3","Diesel","A",22,"Centre",280.78,"[35,45)","[49,60)"
"1138279",1,0.58,5,11,86,57,"B2","Regular","C",230,"Rhone-Alpes",1791.72,"[65,100]","[49,60)"
"1138290",1,1,4,11,53,73,"B6","Regular","C",214,"Bourgogne",1128,"[45,55)","[70,80)"
"1138319",1,1,4,12,36,85,"B3","Diesel","E",2044,"Centre",1287.18,"[35,45)","[80,90)"
"1138361",1,0.72,7,4,54,62,"B2","Diesel","C",254,"Auvergne",595.53,"[45,55)","[60,70)"
"1138376",2,0.84,4,0,51,73,"B2","Diesel","F",10008,"Ile-de-France",5447.51,"[45,55)","[70,80)"
"1138401",1,1,6,8,59,50,"B1","Diesel","C",215,"Provence-Alpes-Cotes-D'Azur",1128.12,"[55,65)","[49,60)"
"1138472",1,1,7,9,71,50,"B1","Regular","A",28,"Centre",1128.12,"[65,100]","[49,60)"
"1138482",1,0.22,5,11,42,50,"B2","Diesel","D",657,"Rhone-Alpes",1330.91,"[35,45)","[49,60)"
"1138518",1,0.83,7,16,63,54,"B2","Regular","D",745,"Rhone-Alpes",1128.12,"[55,65)","[49,60)"
"1138555",1,1,7,2,65,50,"B2","Regular","C",399,"Centre",1128.12,"[65,100]","[49,60)"
"1138605",1,1,7,1,52,58,"B1","Regular","E",6705,"Ile-de-France",1128.12,"[45,55)","[49,60)"
"1138740",1,1,4,12,66,50,"B1","Regular","E",9307,"Rhone-Alpes",76.61,"[65,100]","[49,60)"
"1138855",1,1,5,4,58,50,"B2","Diesel","B",94,"Bretagne",14.62,"[55,65)","[49,60)"
"1138885",1,1,4,4,52,50,"B13","Regular","E",4128,"Pays-de-la-Loire",435.37,"[45,55)","[49,60)"
"1138921",1,0.81,5,9,36,50,"B1","Diesel","A",17,"Centre",151.36,"[35,45)","[49,60)"
"1138966",1,1,5,8,52,59,"B1","Regular","D",722,"Bretagne",5601.67,"[45,55)","[49,60)"
"1139032",1,1,4,5,32,76,"B1","Regular","C",115,"Pays-de-la-Loire",1128,"[25,35)","[70,80)"
"1139071",2,1,8,6,52,57,"B1","Diesel","D",983,"Pays-de-la-Loire",1240.03,"[45,55)","[49,60)"
"1139118",1,0.44,10,2,41,50,"B5","Regular","E",3386,"Bretagne",1128,"[35,45)","[49,60)"
"1139366",1,1,6,5,39,50,"B2","Diesel","A",43,"Centre",385.57,"[35,45)","[49,60)"
"1139382",1,1,5,5,30,50,"B3","Diesel","A",40,"Centre",1011.93,"[25,35)","[49,60)"
"1139384",1,0.89,5,16,45,50,"B2","Regular","B",64,"Centre",284.84,"[45,55)","[49,60)"
"1139417",1,1,5,6,80,50,"B2","Diesel","C",203,"Centre",1128,"[65,100]","[49,60)"
"1139423",1,0.37,6,7,42,50,"B1","Diesel","B",88,"Centre",1128.12,"[35,45)","[49,60)"
"1139433",1,0.73,7,20,36,50,"B1","Diesel","B",88,"Centre",4353.45,"[35,45)","[49,60)"
"1139440",1,1,12,3,39,55,"B10","Diesel","A",29,"Pays-de-la-Loire",199.61,"[35,45)","[49,60)"
"1139462",1,1,6,14,31,57,"B2","Diesel","A",5,"Centre",26.25,"[25,35)","[49,60)"
"1139465",1,0.67,7,12,47,76,"B2","Diesel","A",23,"Centre",1128.12,"[45,55)","[70,80)"
"1139486",1,1,13,30,54,50,"B10","Diesel","A",29,"Centre",3626.83,"[45,55)","[49,60)"
"1139564",1,1,7,9,31,60,"B6","Regular","A",12,"Centre",1239.95,"[25,35)","[60,70)"
"1139570",1,1,8,9,57,102,"B1","Diesel","A",30,"Centre",1128.12,"[55,65)","[100,250]"
"1139639",1,0.46,7,11,64,50,"B2","Regular","C",222,"Centre",656.9,"[55,65)","[49,60)"
"1139710",1,0.54,6,14,58,54,"B2","Regular","B",64,"Centre",1128.12,"[55,65)","[49,60)"
"1139756",1,0.03,5,10,59,85,"B5","Diesel","E",9307,"Rhone-Alpes",913.07,"[55,65)","[80,90)"
"1139764",1,1,7,10,64,50,"B2","Diesel","D",1323,"Rhone-Alpes",74.7,"[55,65)","[49,60)"
"1139802",1,1,7,12,82,50,"B2","Regular","E",4116,"Centre",1128.12,"[65,100]","[49,60)"
"1139827",2,1,6,2,37,80,"B2","Regular","E",4116,"Centre",1474.39,"[35,45)","[80,90)"
"1139887",1,1,7,16,43,60,"B1","Regular","A",18,"Bourgogne",1128,"[35,45)","[60,70)"
"1139910",1,0.9,5,11,49,50,"B4","Regular","D",1485,"Rhone-Alpes",533.6,"[45,55)","[49,60)"
"1139972",1,1,5,6,56,50,"B1","Regular","A",24,"Franche-Comte",1128,"[55,65)","[49,60)"
"1140000",1,0.52,5,13,52,105,"B2","Diesel","E",2715,"Centre",1128.12,"[45,55)","[100,250]"
"1140008",1,1,5,3,44,50,"B3","Diesel","A",38,"Rhone-Alpes",135.19,"[35,45)","[49,60)"
"1140023",1,1,5,2,71,50,"B2","Regular","C",298,"Rhone-Alpes",126.4,"[65,100]","[49,60)"
"1140127",1,0.85,7,6,40,50,"B10","Diesel","E",3386,"Bretagne",1128,"[35,45)","[49,60)"
"1140170",1,1,5,13,51,50,"B2","Diesel","C",153,"Pays-de-la-Loire",120.27,"[45,55)","[49,60)"
"1140194",1,1,6,7,36,50,"B1","Diesel","B",97,"Bretagne",315.22,"[35,45)","[49,60)"
"1140230",1,0.04,10,3,33,50,"B2","Regular","D",831,"Poitou-Charentes",1128,"[25,35)","[49,60)"
"1140294",1,0.34,5,11,42,62,"B2","Diesel","D",678,"Poitou-Charentes",1128,"[35,45)","[60,70)"
"1140302",1,1,4,10,65,50,"B2","Regular","C",229,"Bretagne",1128.12,"[65,100]","[49,60)"
"1140308",1,1,5,8,32,50,"B1","Regular","D",957,"Pays-de-la-Loire",725,"[25,35)","[49,60)"
"1140345",1,0.64,6,5,57,95,"B3","Regular","D",1244,"Bretagne",1128.12,"[55,65)","[90,100)"
"1140386",1,0.66,6,7,31,54,"B2","Diesel","B",88,"Poitou-Charentes",3131.63,"[25,35)","[49,60)"
"1140390",1,1,10,11,51,85,"B4","Regular","E",2805,"Ile-de-France",7551.98,"[45,55)","[80,90)"
"1140397",1,0.06,6,2,82,50,"B2","Diesel","D",881,"Poitou-Charentes",1128,"[65,100]","[49,60)"
"1140554",1,0.1,7,5,45,50,"B2","Diesel","A",10,"Centre",4728.12,"[45,55)","[49,60)"
"1140624",1,0.05,7,0,37,50,"B4","Diesel","B",91,"Ile-de-France",1128.12,"[35,45)","[49,60)"
"1140625",1,0.9,7,0,37,50,"B4","Diesel","B",91,"Ile-de-France",76.22,"[35,45)","[49,60)"
"1140648",1,1,6,11,45,50,"B1","Diesel","A",27,"Centre",1128,"[45,55)","[49,60)"
"1140654",1,0.03,5,16,33,54,"B2","Regular","C",186,"Centre",323.9,"[25,35)","[49,60)"
